# 繁→簡：補 t2s 轉不掉的那些
#
# **這個檔案是產生出來的，不要手改。** 產生器：scripts/gen_charset_data.py
#
# 對照的字集是《通用规范汉字表》。轉得掉的先轉掉——轉掉不損失候選，濾掉會。
# 手工條目（opencc 一條都沒有的）：妳→你（台港把第二人稱分性別寫；规范字表只有『你』）、牠→它（台港的動物第三人稱）、祂→他（台港的神明第三人稱）、伱→你（『你』的異體）、儞→你（『你』的異體）、尓→尔（『尔』的異體）、昰→是（『是』的異體）、碁→棋（『棋』的異體，日式寫法也用它）、峩→峨（『峨』的異體）、尅→克（『克』的異體）、衹→只（『只』的異體）、喫→吃（『吃』的舊寫）、皁→皂（『皂』的異體）、邨→村（『村』的異體）、湼→涅（『涅』的異體）、卻→却（台港字形；规范字表作『却』）、匃→丐（『丐』的異體）、嬭→奶（『奶』的繁體異寫）、麤→粗（『粗』的古字）、皃→貌（『貌』的古字）
#
# opencc 的 text 型詞典：key<TAB>value，一行一條。
# 它掛在 conversion_chain 的最後一段，所以 key 是**前面幾段轉完之後**的字。
# 條數：261

㞞	𪨊
䓕	薳
両	两
乗	乘
亀	龟
亜	亚
仏	佛
仮	假
伕	夫
伱	你
価	价
値	值
倶	俱
倹	俭
儞	你
兎	兔
児	儿
円	圆
処	处
剣	剑
剤	剂
剰	剩
労	劳
効	效
勅	敕
勧	劝
勲	勋
匃	丐
単	单
厳	严
収	收
呉	吴
呪	咒
唖	哑
唚	吣
営	营
噛	啮
団	团
囲	围
図	图
圏	圈
圧	压
塁	垒
塡	填
塩	盐
増	增
壊	坏
壌	壤
壱	壹
売	卖
変	变
奨	奖
妳	你
姫	姬
嬭	奶
実	实
寛	宽
対	对
専	专
尅	克
尓	尔
尭	尧
峩	峨
巌	岩
巣	巢
巻	卷
帯	带
帰	归
庁	厅
広	广
廃	废
弐	贰
弾	弹
従	从
徳	德
徴	征
応	应
恵	惠
悩	恼
悪	恶
懐	怀
戦	战
戯	戏
戸	户
戻	戾
払	拂
抜	拔
択	择
拏	拿
拝	拜
拠	据
拡	扩
挙	举
挿	插
捜	搜
掲	揭
掻	搔
揹	背
揺	摇
摂	摄
撃	击
撹	搅
敍	叙
斉	齐
斎	斋
斲	斫
昰	是
晩	晚
暁	晓
暦	历
暱	昵
曁	暨
曽	曾
枱	台
栄	荣
桜	樱
桟	栈
検	检
楡	榆
楽	乐
様	样
権	权
歓	欢
歩	步
歯	齿
歳	岁
歴	历
毎	每
気	气
氷	冰
汚	污
沢	泽
浄	净
涙	泪
渇	渴
済	济
渉	涉
渋	涩
渓	溪
湼	涅
満	满
溌	泼
滝	泷
濬	浚
瀬	濑
焔	焰
焼	烧
燄	焰
牴	抵
犠	牺
猟	猎
獣	兽
瑯	琅
畳	叠
痩	瘦
痺	痹
発	发
皃	貌
皐	皋
県	县
睪	睾
砕	碎
碁	棋
稲	稻
穂	穗
穏	稳
穣	穰
竃	灶
竜	龙
簷	檐
籐	藤
粋	粹
粛	肃
粧	妆
糭	粽
経	经
絵	绘
継	继
続	续
総	总
縁	缘
縄	绳
縦	纵
繊	纤
繋	系
繍	绣
繐	穗
耈	耇
耡	锄
聡	聪
聴	听
脳	脑
臓	脏
舎	舍
舗	铺
艶	艳
茘	荔
荘	庄
荳	豆
菓	果
蔵	藏
薫	薰
薬	药
蘗	檗
蛍	萤
蝋	蜡
衞	卫
衹	只
覇	霸
覚	觉
覧	览
観	观
觔	斤
訳	译
読	读
譲	让
賛	赞
転	转
軽	轻
輌	辆
辺	边
逓	递
遅	迟
郷	乡
酔	醉
醗	酦
醤	酱
醸	酿
釈	释
鉄	铁
銭	钱
鋳	铸
錬	炼
鎗	枪
鏚	戚
関	关
闘	斗
陥	陷
険	险
隄	堤
隠	隐
雑	杂
霊	灵
頼	赖
顕	显
駅	驿
駆	驱
騒	骚
験	验
髄	髓
髪	发
鱊	𫚪
鴎	鸥
鶏	鸡
鹸	碱
麤	粗
麺	面
黒	黑
黙	默
鼈	鳖
齢	龄
