# 繁→臺灣字形：補 t2tw 轉不掉的那些
#
# **這個檔案是產生出來的，不要手改。** 產生器：scripts/gen_charset_data.py
#
# 對照的字集是 Big5。
# 手工條目：囯→國（『國』的俗寫）、旸→暘（簡化字，opencc 的 ST 沒收）
#
# opencc 的 text 型詞典：key<TAB>value，一行一條。
# 它掛在 conversion_chain 的最後一段，所以 key 是**前面幾段轉完之後**的字。
# 條數：2750

㐷	傌
㐽	偑
㑩	儸
㓰	劃
㖊	噚
㖞	喎
㛀	媰
㛤	孋
㤽	懤
㥪	慺
㧑	撝
㧰	擽
㭎	棡
㭏	椲
㱩	殰
㲿	瀇
㳔	濧
㳕	灡
㳡	濄
㳽	瀰
㴋	潚
㶉	鸂
㻅	璯
䁖	瞜
䃅	磾
䅟	穇
䇲	筴
䉤	籔
䌷	紬
䌸	縳
䌹	絅
䌽	綵
䍁	繸
䏝	膞
䓓	薵
䓕	薳
䓖	藭
䓨	罃
䗖	螮
䙓	襬
䜣	訢
䜩	讌
䝙	貙
䞐	賰
䟢	躎
䥽	鏺
䦆	钁
䩄	靦
䯄	騧
䲠	鰆
䴔	鵁
䴕	鴷
䴖	鶄
䴗	鶪
䶮	龑
专	專
业	業
丛	叢
东	東
丝	絲
両	兩
丢	丟
两	兩
严	嚴
丧	喪
个	個
临	臨
丽	麗
举	舉
义	義
乌	烏
乐	樂
乔	喬
乗	乘
习	習
乡	鄉
书	書
买	買
乱	亂
亀	龜
争	爭
亏	虧
亘	亙
亚	亞
亜	亞
产	產
亩	畝
亲	親
亵	褻
亸	嚲
亿	億
仅	僅
从	從
仏	佛
仑	侖
仓	倉
仪	儀
们	們
仮	假
会	會
伛	傴
伞	傘
伟	偉
传	傳
伣	俔
伤	傷
伥	倀
伦	倫
伧	傖
伫	佇
佥	僉
侠	俠
価	價
侣	侶
侥	僥
侦	偵
侧	側
侨	僑
侩	儈
侪	儕
侬	儂
侭	儘
俣	俁
俦	儔
俨	儼
俩	倆
俪	儷
俭	儉
値	值
倶	俱
倹	儉
债	債
倾	傾
偬	傯
偻	僂
偾	僨
偿	償
傥	儻
傧	儐
储	儲
傩	儺
儁	俊
兎	兔
児	兒
兑	兌
兖	兗
兰	蘭
关	關
兴	興
兹	茲
养	養
兽	獸
冁	囅
内	內
円	圓
冈	岡
册	冊
写	寫
军	軍
农	農
冯	馮
冲	衝
决	決
况	況
冻	凍
净	淨
凉	涼
减	減
